Source,Destination,Distance(M)
City_100,City_66,3746298
City_100,City_72,8634852
City_100,City_75,9284456
City_100,City_79,9388640
City_100,City_84,516373
City_100,City_85,494583
City_100,City_92,1366417
City_100,City_98,2625488
City_100,City_99,261983
City_101,City_106,7747319
City_101,City_108,7418805
City_101,City_118,8392088
City_101,City_122,4908191
City_101,City_128,8332511
City_101,City_137,3491549
City_101,City_138,9698755
City_101,City_141,7648615
City_101,City_142,7395503
City_101,City_143,2564314
City_101,City_150,1155011
City_101,City_152,1200020
City_101,City_158,1364341
City_101,City_17,6796457
City_101,City_23,5422556
City_101,City_24,8593127
City_101,City_29,6621696
City_101,City_31,7485371
City_101,City_35,804326
City_101,City_38,438273
City_101,City_47,9172570
City_101,City_51,9971078
City_101,City_53,10941847
City_101,City_62,8838986
City_101,City_63,5611263
City_101,City_66,3670341
City_101,City_72,8697654
City_101,City_75,9343323
City_101,City_79,9467030
City_101,City_84,454415
City_101,City_85,460711
City_101,City_92,1371613
City_101,City_98,2550131
City_101,City_99,162496
City_102,City_106,4076512
City_102,City_108,4024387
City_102,City_11,11857361
City_102,City_118,4196997
City_102,City_122,9951533
City_102,City_137,8537595
City_102,City_143,7219117
City_102,City_150,6000756
City_102,City_152,6196905
City_102,City_158,6283989
City_102,City_17,11466418
City_102,City_23,306108
City_102,City_24,4169607
City_102,City_29,1506398
City_102,City_31,2493101
City_102,City_35,5825936
City_102,City_38,5547828
City_102,City_47,11153182
City_102,City_63,10704308
City_102,City_66,8717266
City_102,City_72,11217283
City_102,City_75,11880627
City_102,City_79,11040460
City_102,City_84,5570998
City_102,City_85,5557678
City_102,City_92,6299267
City_102,City_98,7619749
City_102,City_99,5264169
City_103,City_1,13231465
City_103,City_100,7689940
City_103,City_101,7755476
City_103,City_105,1681901
City_103,City_107,2198985
City_103,City_109,2696424
City_103,City_110,1212850
City_103,City_112,1206974
City_103,City_113,1845865
City_103,City_114,8095098
City_103,City_12,13202255
City_103,City_125,10693576
City_103,City_131,13678828
City_103,City_134,14162866
City_103,City_135,15838811
City_103,City_14,15181307
City_103,City_144,8924608
City_103,City_15,15190109
City_103,City_151,8760084
City_103,City_153,8690415
City_103,City_154,9155948
City_103,City_155,9916698
City_103,City_156,9588689
City_103,City_157,8894101
City_103,City_26,1576372
City_103,City_28,2847785
City_103,City_3,11453147
City_103,City_30,1874611
City_103,City_32,1397618
City_103,City_33,8657124
City_103,City_37,8637471
City_103,City_42,8196390
City_103,City_43,10544053
City_103,City_44,10889825
City_103,City_45,10761182
City_103,City_49,11179476
City_103,City_5,12867828
City_103,City_50,10562530
City_103,City_52,11105115
City_103,City_54,14744485
City_103,City_57,15765557
City_103,City_58,13528781
City_103,City_61,13778171
City_103,City_7,12305033
City_103,City_71,12063162
City_103,City_73,12073839
City_103,City_81,11198534
City_103,City_82,11178705
City_103,City_83,8583718
City_103,City_86,8452299
City_103,City_87,8263026
City_103,City_9,12881590
City_103,City_91,9087328
City_103,City_93,8872124
City_103,City_94,9313929
City_103,City_95,9948335
City_104,City_106,1498619
City_104,City_108,1907326
City_104,City_11,10773303
City_104,City_118,5442677
City_104,City_143,9889917
City_104,City_150,9744068
City_104,City_152,9854799
City_104,City_158,9429241
City_104,City_17,13021597
City_104,City_23,3907162
City_104,City_24,179410
City_104,City_29,3037534
City_104,City_31,1901571
City_104,City_35,9157642
City_104,City_38,9027143
City_104,City_47,9789119
City_104,City_51,11353908
City_104,City_72,10305724
City_104,City_75,10708686
City_104,City_79,9382673
City_104,City_84,9077391
City_104,City_85,9014159
City_104,City_92,9448658
City_104,City_98,11173076
City_104,City_99,8822044
City_105,City_106,2290471
City_105,City_108,2292837
City_105,City_118,4851002
City_105,City_122,11195842
City_105,City_137,9784571
City_105,City_143,7906959
City_105,City_150,7334021
City_105,City_152,7471006
City_105,City_158,7224075
City_105,City_23,1635657
City_105,City_24,2448486
City_105,City_29,1461250
City_105,City_31,1390345
City_105,City_35,6873949
City_105,City_38,6689010
City_105,City_47,10135780
City_105,City_51,11763289
City_105,City_63,11583949
City_105,City_66,9962603
City_105,City_72,10389155
City_105,City_75,10977427
City_105,City_79,9901906
City_105,City_84,6731150
City_105,City_85,6683472
City_105,City_92,7242311
City_105,City_98,8841806
City_105,City_99,6455200
City_106,City_1,10527998
City_106,City_10,9401605
City_106,City_100,7647608
City_106,City_101,7747319
City_106,City_102,4076512
City_106,City_104,1498619
City_106,City_105,2290471
City_106,City_107,3393249
City_106,City_109,3765605
City_106,City_11,9476708
City_106,City_110,3615755
City_106,City_112,3278452
City_106,City_113,1523325
City_106,City_114,10838350
City_106,City_118,6520053
City_106,City_12,10503407
City_106,City_125,10206842
City_106,City_13,12663978
City_106,City_131,10944546
City_106,City_132,13230843
City_106,City_134,11471119
City_106,City_135,13106836
City_106,City_14,13201220
City_106,City_143,8604957
City_106,City_144,8037349
City_106,City_15,13104450
City_106,City_151,8825572
City_106,City_153,7902660
City_106,City_154,8891589
City_106,City_155,9646030
City_106,City_156,9337231
City_106,City_157,8212264
City_106,City_16,12702493
City_106,City_17,11524538
City_106,City_18,12703165
City_106,City_23,3925578
City_106,City_26,2823546
City_106,City_28,235098
City_106,City_29,3489860
City_106,City_3,8845690
City_106,City_30,3161280
City_106,City_31,2624602
City_106,City_32,1617080
City_106,City_33,8339203
City_106,City_34,8693454
City_106,City_37,8540007
City_106,City_39,8249175
City_106,City_40,8637694
City_106,City_42,8698557
City_106,City_43,7797502
City_106,City_44,8146683
City_106,City_45,8016851
City_106,City_49,8477335
City_106,City_5,10330688
City_106,City_50,7815764
City_106,City_52,8367450
City_106,City_54,12128604
City_106,City_57,13061819
City_106,City_58,10781180
City_106,City_61,11142849
City_106,City_7,9733065
City_106,City_71,9362182
City_106,City_73,9452338
City_106,City_78,9976028
City_106,City_81,8474900
City_106,City_82,8473798
City_106,City_83,8911955
City_106,City_85,8040099
City_106,City_86,7819631
City_106,City_87,7798190
City_106,City_88,8009660
City_106,City_9,10295627
City_106,City_90,8645528
City_106,City_91,8607727
City_106,City_93,8610841
City_106,City_94,9021074
City_106,City_95,9552878
City_106,City_96,8860509
City_106,City_99,7907961
City_107,City_106,3393249
City_107,City_108,3358910
City_107,City_118,4361460
City_107,City_122,10448743
City_107,City_137,9028795
City_107,City_138,13813205
City_107,City_143,7484264
City_107,City_150,6512056
City_107,City_152,6685751
City_107,City_158,6640103
City_107,City_17,11619882
City_107,City_23,550444
City_107,City_24,3494380
City_107,City_29,1183239
City_107,City_31,1936606
City_107,City_35,6221136
City_107,City_38,5978272
City_107,City_47,10788098
City_107,City_51,12375861
City_107,City_53,15000554
City_107,City_63,11070925
City_107,City_66,9208749
City_107,City_72,10928141
City_107,City_75,11566541
City_107,City_79,10626202
City_107,City_84,6009353
City_107,City_85,5981954
City_107,City_92,6656703
City_107,City_98,8096548
City_107,City_99,5712480
City_108,City_1,10236840
City_108,City_10,9099297
City_108,City_100,7316820
City_108,City_101,7418805
City_108,City_102,4024387
City_108,City_104,1907326
City_108,City_105,2292837
City_108,City_107,3358910
City_108,City_109,3686320
City_108,City_11,9184921
City_108,City_110,3946480
City_108,City_112,3632545
City_108,City_113,1931706
City_108,City_114,11051398
City_108,City_118,6757055
City_108,City_12,10209579
City_108,City_125,9818725
City_108,City_13,12251094
City_108,City_131,10741682
City_108,City_132,13044199
City_108,City_134,11174555
City_108,City_135,12837437
City_108,City_14,12800307
City_108,City_143,8199378
City_108,City_144,7637521
City_108,City_15,12710253
City_108,City_151,8492792
City_108,City_153,7509293
City_108,City_154,8528649
City_108,City_155,9276705
City_108,City_156,8971770
City_108,City_157,7823678
City_108,City_16,12291306
City_108,City_17,11114426
City_108,City_18,12301398
City_108,City_23,3904344
City_108,City_26,2852648
City_108,City_28,195279
City_108,City_29,3604407
City_108,City_3,8512904
City_108,City_30,3160984
City_108,City_31,2845366
City_108,City_32,1982592
City_108,City_33,7976470
City_108,City_34,8343600
City_108,City_37,8194631
City_108,City_39,7920844
City_108,City_40,8311083
City_108,City_42,8414363
City_108,City_43,7556135
City_108,City_44,7894573
City_108,City_45,7767731
City_108,City_49,8183832
City_108,City_5,9983216
City_108,City_50,7575431
City_108,City_52,8105524
City_108,City_54,11805266
City_108,City_57,12773331
City_108,City_58,10547447
City_108,City_61,10823299
City_108,City_7,9392340
City_108,City_71,9068635
City_108,City_73,9125102
City_108,City_78,9706671
City_108,City_81,8197296
City_108,City_82,8182052
City_108,City_83,8605429
City_108,City_85,7696191
City_108,City_86,7436961
City_108,City_87,7428171
City_108,City_88,7642519
City_108,City_9,9959786
City_108,City_90,8304977
City_108,City_91,8230374
City_108,City_93,8250492
City_108,City_94,8654804
City_108,City_95,9174999
City_108,City_96,8499147
City_108,City_99,7578207
City_109,City_106,3765605
City_109,City_108,3686320
City_109,City_118,4535983
City_109,City_122,9950577
City_109,City_137,8531048
City_109,City_143,7054484
City_109,City_150,6010493
City_109,City_152,6187290
City_109,City_158,6174999
City_109,City_17,11247364
City_109,City_23,533688
City_109,City_24,3966989
City_109,City_29,1598882
City_109,City_31,2438096
City_109,City_35,5743410
City_109,City_38,5490960
City_109,City_47,10759603
City_109,City_63,10606944
City_109,City_66,8711030
City_109,City_72,10837562
City_109,City_75,11496321
City_109,City_79,10640881
City_109,City_84,5520210
City_109,City_85,5496156
City_109,City_92,6191185
City_109,City_98,7600897
City_109,City_99,5220828
City_11,City_106,9476708
City_11,City_108,9184921
City_11,City_122,7993545
City_11,City_128,5067199
City_11,City_137,8344298
City_11,City_138,11549438
City_11,City_141,9527268
City_11,City_142,9325629
City_11,City_150,9483123
City_11,City_152,9179793
City_11,City_158,8002692
City_11,City_24,10598683
City_11,City_35,8534945
City_11,City_38,8944526
City_11,City_47,996235
City_11,City_51,850410
City_11,City_53,3648847
City_11,City_62,4934879
City_11,City_63,6325087
City_11,City_66,8288867
City_11,City_72,644499
City_11,City_75,141062
City_11,City_79,1491963
City_11,City_84,8996836
City_11,City_92,8004482
City_11,City_98,8502362
City_110,City_106,3615755
City_110,City_108,3946480
City_110,City_118,3170731
City_110,City_138,14885762
City_110,City_143,10719394
City_110,City_150,9648849
City_110,City_152,9856385
City_110,City_158,9900601
City_110,City_17,14647280
City_110,City_23,3359383
City_110,City_24,2490483
City_110,City_29,2159111
City_110,City_31,1501880
City_110,City_35,9471552
City_110,City_38,9208823
City_110,City_51,13674310
City_110,City_53,16606702
City_110,City_63,14331954
City_110,City_66,12368584
City_110,City_72,12575132
City_110,City_79,11701817
City_110,City_84,9234053
City_110,City_85,9216698
City_110,City_92,9917084
City_110,City_98,11280968
City_110,City_99,8928730
City_111,City_101,8309359
City_111,City_105,2236199
City_111,City_107,2751177
City_111,City_109,3243258
City_111,City_110,705926
City_111,City_114,7958629
City_111,City_144,9492118
City_111,City_151,9304252
City_111,City_154,9714748
City_111,City_155,10472722
City_111,City_156,10145240
City_111,City_26,2143104
City_111,City_28,3107281
City_111,City_30,2431296
City_111,City_33,9219510
City_111,City_37,9191226
City_111,City_42,8711572
City_111,City_83,9110491
City_111,City_87,8829828
City_111,City_91,9652894
City_111,City_93,9431858
City_111,City_94,9873246
City_111,City_95,10509226
City_112,City_106,3278452
City_112,City_108,3632545
City_112,City_118,3625718
City_112,City_138,15344768
City_112,City_143,10756890
City_112,City_150,9858491
City_112,City_152,10050423
City_112,City_158,10004598
City_112,City_17,14525868
City_112,City_23,3554284
City_112,City_24,2088277
City_112,City_29,2366529
City_112,City_31,1495339
City_112,City_35,9602369
City_112,City_38,9362488
City_112,City_47,11703674
City_112,City_51,13264029
City_112,City_53,16176223
City_112,City_63,14416445
City_112,City_66,12573328
City_112,City_72,12209659
City_112,City_79,11294776
City_112,City_84,9392752
City_112,City_85,9366449
City_112,City_92,10021841
City_112,City_98,11469702
City_112,City_99,9093735
City_113,City_106,1523325
City_113,City_108,1931706
City_113,City_118,5422690
City_113,City_138,16973763
City_113,City_143,9908824
City_113,City_150,9754608
City_113,City_152,9866373
City_113,City_158,9444939
City_113,City_17,13046047
City_113,City_23,3906546
City_113,City_24,204390
City_113,City_29,3030677
City_113,City_31,1892482
City_113,City_35,9171760
City_113,City_38,9039936
City_113,City_47,9812547
City_113,City_51,11376592
City_113,City_53,14308139
City_113,City_63,13545359
City_113,City_66,12297569
City_113,City_72,10329900
City_113,City_75,10732153
City_113,City_79,9405509
City_113,City_84,9089976
City_113,City_85,9027143
City_113,City_92,9464342
City_113,City_98,11186500
City_113,City_99,8833980
City_114,City_106,10838350
City_114,City_108,11051398
City_114,City_118,4327770
City_114,City_122,10544979
City_114,City_137,10164446
City_114,City_138,7600440
City_114,City_141,9284385
City_114,City_142,9451539
City_114,City_143,11806412
City_114,City_150,9133692
City_114,City_152,9429500
City_114,City_158,10657693
City_114,City_17,14419314
City_114,City_23,7685626
City_114,City_24,9906373
City_114,City_29,7519550
City_114,City_31,8216495
City_114,City_35,10149324
City_114,City_38,9750121
City_114,City_51,18675196
City_114,City_53,15987008
City_114,City_63,12226177
City_114,City_66,10219653
City_114,City_72,18146311
City_114,City_84,9691516
City_114,City_85,9805354
City_114,City_92,10653810
City_114,City_98,10027049
City_114,City_99,9497401
City_115,City_106,11031442
City_115,City_108,11226300
City_115,City_118,4548725
City_115,City_138,7306512
City_115,City_143,11543765
City_115,City_17,14061802
City_115,City_23,7759044
City_115,City_24,10143470
City_115,City_29,7661944
City_115,City_31,8406849
City_115,City_35,9914977
City_115,City_36,9585392
City_115,City_38,9521124
City_115,City_51,18321289
City_115,City_53,15722119
City_115,City_63,11869664
City_115,City_66,9883707
City_115,City_72,17858992
City_115,City_84,9460288
City_115,City_85,9576960
City_115,City_99,9277420
City_116,City_118,4670520
City_116,City_143,13475554
City_116,City_23,8526194
City_116,City_29,8069057
City_116,City_31,8497533
City_116,City_85,11445634
City_116,City_99,11127796
City_117,City_1,18717106
City_117,City_100,11685898
City_117,City_103,7634980
City_117,City_105,9014007
City_117,City_111,7284088
City_117,City_112,6943136
City_117,City_113,8794779
City_117,City_12,18777674
City_117,City_123,13205363
City_117,City_130,16762152
City_117,City_131,17044463
City_117,City_134,18077595
City_117,City_135,16369817
City_117,City_157,13342444
City_117,City_2,18848666
City_117,City_26,8553309
City_117,City_27,9489525
City_117,City_32,8604991
City_117,City_36,12109999
City_117,City_43,17238699
City_117,City_46,18356283
City_117,City_48,18505555
City_117,City_49,18382198
City_117,City_5,19424791
City_117,City_57,16552465
City_117,City_58,17612427
City_117,City_61,18592171
City_117,City_71,18932056
City_117,City_73,19594179
City_117,City_74,19254033
City_117,City_76,18962724
City_117,City_77,18533957
City_117,City_80,18065070
City_117,City_82,18357806
City_118,City_106,6520053
City_118,City_108,6757055
City_118,City_137,11054246
City_118,City_138,11722623
City_118,City_150,8794638
City_118,City_152,9086842
City_118,City_158,9748737
City_118,City_24,5597413
City_118,City_35,9195961
City_118,City_38,8811291
City_118,City_66,11203641
City_118,City_84,8797788
City_118,City_92,9757804
City_118,City_98,10364865
City_119,City_106,12230277
City_119,City_108,11812194
City_119,City_118,13567376
City_119,City_138,6533422
City_119,City_143,3738902
City_119,City_17,2304934
City_119,City_21,1857411
City_119,City_23,11021085
City_119,City_24,13462941
City_119,City_29,12212439
City_119,City_31,12955815
City_119,City_35,4890986
City_119,City_36,4836932
City_119,City_38,5178330
City_119,City_51,6656731
City_119,City_53,5895950
City_119,City_63,122889
City_119,City_66,2365851
City_119,City_69,1281766
City_119,City_72,6351058
City_119,City_84,5161524
City_119,City_85,5164825
City_119,City_99,5474532
City_12,City_106,10503407
City_12,City_108,10209579
City_12,City_11,1026864
City_12,City_118,16816521
City_12,City_122,7584344
City_12,City_128,4237656
City_12,City_137,8151984
City_12,City_138,10605320
City_12,City_141,8742192
City_12,City_142,8566983
City_12,City_143,7052431
City_12,City_150,9644576
City_12,City_152,9333384
City_12,City_158,8266879
City_12,City_17,3706459
City_12,City_23,12882960
City_12,City_24,11620933
City_12,City_29,13416994
City_12,City_31,13014952
City_12,City_35,8822740
City_12,City_38,9238036
City_12,City_47,2006316
City_12,City_51,672615
City_12,City_53,2637179
City_12,City_62,4040076
City_12,City_63,5892856
City_12,City_66,8069276
City_12,City_72,1585036
City_12,City_75,1086353
City_12,City_79,2450333
City_12,City_84,9280589
City_12,City_85,9188822
City_12,City_92,8265414
City_12,City_98,8461023
City_12,City_99,9534492
City_120,City_106,12121714
City_120,City_108,11706527
City_120,City_118,13266648
City_120,City_138,6510040
City_120,City_143,3571270
City_120,City_17,2556969
City_120,City_21,2147293
City_120,City_23,10772327
City_120,City_24,13329276
City_120,City_29,11967312
City_120,City_31,12739407
City_120,City_35,4645966
City_120,City_36,4576977
City_120,City_38,4921789
City_120,City_51,6915203
City_120,City_53,6197598
City_120,City_63,376224
City_120,City_66,2064390
City_120,City_69,1156929
City_120,City_72,6559629
City_120,City_84,4902341
City_120,City_85,4910259
City_120,City_99,5213721
City_121,City_106,11635239
City_121,City_108,11224188
City_121,City_118,12773030
City_121,City_138,6827508
City_121,City_143,3045940
City_121,City_17,2825049
City_121,City_21,2547771
City_121,City_23,10198076
City_121,City_24,12815034
City_121,City_29,11392875
City_121,City_31,12170091
City_121,City_35,4071549
City_121,City_36,4004624
City_121,City_38,4348474
City_121,City_51,7154824
City_121,City_53,6666427
City_121,City_63,856735
City_121,City_66,1617144
City_121,City_69,771274
City_121,City_72,6659024
City_121,City_84,4329774
City_121,City_85,4336514
City_121,City_99,4641762
City_122,City_1,7628489
City_122,City_10,7819557
City_122,City_100,4982200
City_122,City_101,4908191
City_122,City_102,9951533
City_122,City_104,13485589
City_122,City_105,11195842
City_122,City_106,12343480
City_122,City_107,10448743
City_122,City_108,11953376
City_122,City_109,9950577
City_122,City_11,7993545
City_122,City_110,13593318
City_122,City_112,13809086
City_122,City_113,13500618
City_122,City_114,10544979
City_122,City_118,12192073
City_122,City_12,7584344
City_122,City_125,2137203
City_122,City_13,3516999
City_122,City_131,9046572
City_122,City_132,8627195
City_122,City_134,7234757
City_122,City_135,7370117
City_122,City_138,5775802
City_122,City_14,4175391
City_122,City_143,3812888
City_122,City_144,4331249
City_122,City_15,4446932
City_122,City_151,3886863
City_122,City_153,4444729
City_122,City_154,3557479
City_122,City_155,2781787
City_122,City_156,3109020
City_122,City_157,4131220
City_122,City_16,3629720
City_122,City_17,3884108
City_122,City_18,4135012
City_122,City_23,10255626
City_122,City_24,13393866
City_122,City_26,11100629
City_122,City_28,12113278
City_122,City_29,11449835
City_122,City_3,7434853
City_122,City_30,10775809
City_122,City_31,12383825
City_122,City_32,13189337
City_122,City_33,4094710
City_122,City_35,4336911
City_122,City_37,4030315
City_122,City_38,4507117
City_122,City_39,4450272
City_122,City_40,4117648
City_122,City_42,4541933
City_122,City_43,9520258
City_122,City_44,9212979
City_122,City_45,9312061
City_122,City_49,8366075
City_122,City_5,6475178
City_122,City_50,9529507
City_122,City_51,8241502
City_122,City_52,8963426
City_122,City_53,7335223
City_122,City_54,6516078
City_122,City_57,7039821
City_122,City_58,8588591
City_122,City_61,6850439
City_122,City_63,1691490
City_122,City_66,1240308
City_122,City_7,6871621
City_122,City_71,8004327
City_122,City_72,7859330
City_122,City_73,7288518
City_122,City_81,8650977
City_122,City_82,8399477
City_122,City_83,4104302
City_122,City_84,4466422
City_122,City_85,4512388
City_122,City_86,4528956
City_122,City_87,4588332
City_122,City_88,4393040
City_122,City_9,6765179
City_122,City_90,3975017
City_122,City_91,3758103
City_122,City_93,3846703
City_122,City_94,3409161
City_122,City_95,2819829
City_122,City_99,4749814
City_123,City_1,7734544
City_123,City_100,3776178
City_123,City_101,3710364
City_123,City_107,9268626
City_123,City_109,8777096
City_123,City_110,12473389
City_123,City_112,12649842
City_123,City_113,12246545
City_123,City_114,10622006
City_123,City_12,7682361
City_123,City_125,889562
City_123,City_131,9317104
City_123,City_132,9317706
City_123,City_134,7529440
City_123,City_135,8000540
City_123,City_14,4841343
City_123,City_144,3113495
City_123,City_15,5078289
City_123,City_151,2742670
City_123,City_153,3205818
City_123,City_154,2322729
City_123,City_155,1551825
City_123,City_156,1880790
City_123,City_157,2883215
City_123,City_16,4179703
City_123,City_28,10863705
City_123,City_3,7137414
City_123,City_30,9591089
City_123,City_32,11942979
City_123,City_33,2849971
City_123,City_37,2828392
City_123,City_42,3542956
City_123,City_43,9156519
City_123,City_45,8979924
City_123,City_49,8063224
City_123,City_5,6462169
City_123,City_50,9170166
City_123,City_52,8681302
City_123,City_54,6928415
City_123,City_57,7654960
City_123,City_58,8801368
City_123,City_61,7054241
City_123,City_7,6740444
City_123,City_71,7872187
City_123,City_73,7123023
City_123,City_81,8369403
City_123,City_82,8098472
City_123,City_83,3062757
City_123,City_86,3274396
City_123,City_87,3332782
City_123,City_9,6763693
City_123,City_91,2501319
City_123,City_93,2610982
City_123,City_94,2169698
City_123,City_95,1565491
City_124,City_106,12331538
City_124,City_108,11910862
City_124,City_118,13978109
City_124,City_138,6622629
City_124,City_143,3959733
City_124,City_17,1950627
City_124,City_21,1449738
City_124,City_23,11337894
City_124,City_24,13595871
City_124,City_29,12521390
City_124,City_31,13217060
City_124,City_35,5213154
City_124,City_36,5181041
City_124,City_38,5516612
City_124,City_51,6280925
City_124,City_53,5479975
City_124,City_63,362803
City_124,City_66,2780527
City_124,City_69,1504663
City_124,City_72,6039240
City_124,City_84,5503762
City_124,City_85,5500218
City_124,City_99,5818568
City_125,City_106,10206842
City_125,City_108,9818725
City_125,City_118,11094876
City_125,City_122,2137203
City_125,City_128,5420133
City_125,City_137,1006699
City_125,City_138,7762850
City_125,City_141,5236408
City_125,City_142,4939302
City_125,City_143,1793782
City_125,City_150,2304941
City_125,City_152,2024569
City_125,City_158,1941464
City_125,City_17,4203633
City_125,City_23,8397324
City_125,City_24,11269456
City_125,City_29,9595019
City_125,City_31,10415198
City_125,City_35,2290305
City_125,City_38,2543847
City_125,City_47,8053231
City_125,City_51,8209098
City_125,City_53,8297334
City_125,City_62,5935346
City_125,City_63,2649892
City_125,City_66,1109453
City_125,City_72,7353104
City_125,City_75,7831598
City_125,City_79,8524862
City_125,City_84,2522560
City_125,City_85,2534466
City_125,City_92,1922344
City_125,City_98,818408
City_125,City_99,2833375
City_126,City_11,5227533
City_126,City_132,6105156
City_126,City_16,998967
City_126,City_17,1089456
City_126,City_44,6577897
City_127,City_11,3022565
City_127,City_132,4220937
City_127,City_16,1813131
City_127,City_17,1433322
City_127,City_44,4498966
City_128,City_1,4255890
City_128,City_10,5007188
City_128,City_100,8362368
City_128,City_101,8332511
City_128,City_102,13317454
City_128,City_105,13819636
City_128,City_106,13565916
City_128,City_107,13568209
City_128,City_108,13163832
City_128,City_109,13152838
City_128,City_11,5067199
City_128,City_114,13789678
City_128,City_118,16348277
City_128,City_12,4237656
City_128,City_125,5420133
City_128,City_13,1080186
City_128,City_131,5207656
City_128,City_132,4469655
City_128,City_134,3522265
City_128,City_135,3224610
City_128,City_138,6556357
City_128,City_14,367715
City_128,City_143,6101103
City_128,City_144,6725473
City_128,City_15,559486
City_128,City_151,7550637
City_128,City_153,6992510
City_128,City_154,6923573
City_128,City_155,6273041
City_128,City_156,6566252
City_128,City_157,6860445
City_128,City_16,989711
City_128,City_17,2089268
City_128,City_18,862764
City_128,City_23,13610666
City_128,City_24,14889928
City_128,City_26,14024119
City_128,City_28,13358580
City_128,City_29,14745229
City_128,City_3,5171138
City_128,City_30,13833626
City_128,City_31,15209531
City_128,City_33,7314327
City_128,City_35,7563310
City_128,City_37,7507106
City_128,City_38,7894625
City_128,City_39,8003216
City_128,City_40,7781176
City_128,City_42,8447576
City_128,City_43,6968901
City_128,City_44,6579816
City_128,City_45,6714966
City_128,City_49,5884644
City_128,City_5,3678174
City_128,City_50,6964410
City_128,City_51,4886534
City_128,City_52,6299834
City_128,City_53,3191525
City_128,City_54,2670080
City_128,City_57,2906004
City_128,City_58,4879026
City_128,City_61,3394106
City_128,City_63,2791980
City_128,City_66,5165401
City_128,City_7,4288067
City_128,City_71,5140368
City_128,City_72,5302629
City_128,City_73,4684594
City_128,City_81,6048972
City_128,City_82,5905379
City_128,City_83,7955423
City_128,City_84,7888702
City_128,City_85,7873150
City_128,City_86,7294254
City_128,City_87,7565068
City_128,City_88,7465268
City_128,City_9,3850807
City_128,City_90,7525973
City_128,City_91,6816599
City_128,City_93,7170715
City_128,City_94,6764084
City_128,City_95,6133107
City_128,City_99,8204798
City_129,City_125,5405965
City_129,City_132,4267576
City_129,City_15,601586
City_129,City_16,993667
City_129,City_22,1002288
City_129,City_3,4029882
City_129,City_44,5481581
City_129,City_45,5614528
City_129,City_50,5863948
City_129,City_52,5200963
City_129,City_54,1899903
City_129,City_7,3151840
City_129,City_78,3944158
City_129,City_81,4939275
City_129,City_9,2737187
City_13,City_11,4900159
City_13,City_118,15533715
City_13,City_122,3516999
City_13,City_128,1080186
City_13,City_137,4498370
City_13,City_138,7049683
City_13,City_141,4677527
City_13,City_142,4451065
City_13,City_143,5027962
City_13,City_150,6764982
City_13,City_152,6483267
City_13,City_158,6019565
City_13,City_17,1153241
City_13,City_23,12538016
City_13,City_29,13666041
City_13,City_31,14145740
City_13,City_35,6531499
City_13,City_38,6877059
City_13,City_47,5762894
City_13,City_51,4923678
City_13,City_53,3903777
City_13,City_62,1547537
City_13,City_63,1935090
City_13,City_66,4358210
City_13,City_72,4991454
City_13,City_75,5031451
City_13,City_79,6320040
City_13,City_84,6876108
City_13,City_85,6852368
City_13,City_92,6006522
City_13,City_98,5170487
City_13,City_99,7191697
